Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
AOBJEXTMPC,AOY2,NUMLOT-NUMLIG,No,
AOBJEXTMPD,AOV0,NUMLOT+NUMLIG+FLDNUM,No,
AOBJEXTMPD,AOV1,NUMLOT+NUMLIG,Yes,
AOBJEXTMPD,AOV2,NUMLOT-NUMLIG+FLDNUM,No,
AOBJEXTMPD,AOV3,NUMLOT-NUMLIG+AOVFIL+AOVFLD+FLDNUM,No,
AOBJEXTMPE,AOU0,NUMLOT+NUMLIG+FLDNUM,No,
AOBJEXTMPE,AOU2,NUMLOT-NUMLIG+FLDNUM,No,
AOBJEXTR,AOR0,NUMTAB+NUMLIG,No,
AOBJEXTR,AOR1,NUMTAB+CODEXT+NUMLIG,No,
AOBJEXTR,AOR2,NUMTAB+CODLOC+NUMLIG,No,
AOBJLNK,AOK0,SRCOBJ+LIN,No,
AOBJLST,AOL0,ABREV,No,
AOBJPROP,AOP0,OBJ+NUM,No,
AOBJSEL,AOS0,CODE+MEMO+ALL+USR,No,
AOBJSEL,AOS1,CODE+NUMORD+ALL,No,
AOBJTAB,ABREV,ABREV+NUMLIG,No,
AOBJTAB,TABFIC,ABREV+TABFIC+TABABR,No,
AOBJTXT,AOX0,ABREV+IDENT1+IDENT2+IDENT3,No,
AOBJTXTA,AOM0,ABREV+IDENT1+IDENT2+IDENT3+MOTCLE,No,
AOBJTXTA,AOM1,MOTCLE+ABREV+IDENT1+IDENT2+IDENT3,No,
APARIMPEXP,APX0,COD,No,
APATCH,APT0,NUM,No,
APATCH,APT1,FIC,Yes,
APATCH,APT2,TYP+VER+NUMP,Yes,
APATCHLOG,APT0,AFOLDER+AUPDATE+IDENT,No,
APATCHLOGD,APLD0,AFOLDER+AUPDATE+IDENT+TYP+LINE,No,
APATCHMOD,APH0,MODPAT+NUMLIG,No,
APATCHTMP,APATMP0,NUMREQ+FICNAM+FOLD,No,
APLCOM,COMCLE,COMNOM+COMIND,No,
APLCOMH,ACMH0,COMNOM,No,
APLLCK,LCKCLE,LCKSYM+LCKIND,No,
APLLCK,PIDFLG,LCKPID+LCKFLG,Yes,
APLSTD,CLE,LANCHP+LANNUM+LAN,No,
APLSTD,LAN,LAN+LANCHP+LANNUM,No,
APOOLBRG,APB1,POOLALIAS,No,
APOOLWS,APW1,CLE,No,
APOOLWS,APW2,SOLUTION+DOSSIER+SWEBALIAS+POOLALIAS,No,
APORTMOD,AMO0,CODUSR+CODTAB+CODMOD,No,
APORTMOD,AMO1,VIGNETTE+CODUSR,Yes,
APORTTAB,APA0,CODUSR+CODTAB,No,
APORTTYP,ATP0,CODFA,No,
APORTUSER,APU0,CODUSR,No,
APORTVIG,AVP0,CODVI,No,
APORTVIG,AVP1,MENUR+RANGR+CODVI,No,
APRINTDES,AID0,COD+NUM,No,
APRINTER,AIM0,COD,No,
APROCESSUS,APR1,CODLEG+CODPRO,No,
APROCESSUS,APR0,CODPRO,Yes,
APROCESSUS,APR2,CODPRO+CODLEG,No,
APROCTEXTE,AXP0,CODPRO+CODLEG+LANG+UNIQIDP,No,
APROCTEXTE,AXP1,LANG+CODPRO+CODLEG+UNIQIDP,No,
APROFIL,CODPRF,MODULE+CODPRF,No,
APROFIL,APF1,CODPRF+MODULE,No,
APROMEN,APO1,LEG+CODMEN,No,
APROMEN,APO0,CODMEN,Yes,
APROMEN,APO2,CODMEN+LEG,No,
APRTAUS,AIA0,USR+RPTCOD+CMP,No,
APRTBRW,AP20,AP2BRW,No,
APTLPAGE,APS0,APSPAG,No,
APTLPAR,APP0,APPTYP+APPCOD,No,
APTLVW,APV0,APVCOD,No,
AQRESULTS,AQR0,NAME+CREDATTIM,No,
ARCHPAR,ARC0,CODARC,No,
ARCHPARE,ARE0,TYPDOC+IDTVOL+NUMLIG,No,
ARCHPARU,ARU0,ARCPRF,No,
ARCHPARW,ARW0,CODARC+CODPAR,No,
AREFAML,ARN0,NOLIB+NUM,No,
AREFTXT,ART0,TXTNUM+NUM,No,
AREFTXT,ART1,TXTNUM+CODFIC+CODZONE+CLES,No,
AREFTXT,ART2,CODFIC+CODZONE+CLES+TXTNUM,No,
AREPORT,ARP0,RPTCOD,No,
AREPORT,ARP1,GRP+RPTCOD,No,
AREPORTA,ARA0,PATNAM-TIMSTP+TYP+SEQ,No,
AREPORTA,ARA1,PATNAM-VER,Yes,
AREPORTA,ARA2,PATNAM+VER+TYP+SEQ,No,
AREPORTD,ARD0,RPTCOD+PARNUM,No,
AREPORTD,ARD1,PARCOD+RPTCOD,No,
AREPORTG,ARG0,CODPAR+NUM+LIG,No,
AREPORTM,ARM0,NUMREQ+USR+RPTCOD+NUMLIG,No,
AREPORTM,ARM1,USR+RPTCOD,Yes,
AREPORTM,ARM2,NUMREQ+USR+SEQREQ+RPTCOD+NUMLIG,No,
AREPORTS,ARO0,RPTCOD,No,
AREPORTV,ARV0,FONCTION+TYPCOD+ETAT+PARAM,No,
AREPORTV,ARV1,TYPCOD+ETAT+PARAM+FONCTION,No,
AREPORTX,ARX0,INTCOD+TYPCOD+EXTCOD+LAN,Yes,
